original_index,display_index,text_path,audio_path,status
86,85,./35322 - Text/Chapter_0086_display_85.txt,./35322 - Audio/Chapter_0086_display_85.mp3,queued
87,86,./35322 - Text/Chapter_0087_display_86.txt,./35322 - Audio/Chapter_0087_display_86.mp3,queued
88,87,./35322 - Text/Chapter_0088_display_87.txt,./35322 - Audio/Chapter_0088_display_87.mp3,queued
89,88,./35322 - Text/Chapter_0089_display_88.txt,./35322 - Audio/Chapter_0089_display_88.mp3,queued
90,89,./35322 - Text/Chapter_0090_display_89.txt,./35322 - Audio/Chapter_0090_display_89.mp3,queued
91,90,./35322 - Text/Chapter_0091_display_90.txt,./35322 - Audio/Chapter_0091_display_90.mp3,queued
92,91,./35322 - Text/Chapter_0092_display_91.txt,./35322 - Audio/Chapter_0092_display_91.mp3,queued
93,92,./35322 - Text/Chapter_0093_display_92.txt,./35322 - Audio/Chapter_0093_display_92.mp3,queued
94,93,./35322 - Text/Chapter_0094_display_93.txt,./35322 - Audio/Chapter_0094_display_93.mp3,queued
95,94,./35322 - Text/Chapter_0095_display_94.txt,./35322 - Audio/Chapter_0095_display_94.mp3,queued
96,95,./35322 - Text/Chapter_0096_display_95.txt,./35322 - Audio/Chapter_0096_display_95.mp3,queued
97,96,./35322 - Text/Chapter_0097_display_96.txt,./35322 - Audio/Chapter_0097_display_96.mp3,queued
98,97,./35322 - Text/Chapter_0098_display_97.txt,./35322 - Audio/Chapter_0098_display_97.mp3,queued
99,98,./35322 - Text/Chapter_0099_display_98.txt,./35322 - Audio/Chapter_0099_display_98.mp3,queued
100,99,./35322 - Text/Chapter_0100_display_99.txt,./35322 - Audio/Chapter_0100_display_99.mp3,queued
101,100,./35322 - Text/Chapter_0101_display_100.txt,./35322 - Audio/Chapter_0101_display_100.mp3,queued
102,101,./35322 - Text/Chapter_0102_display_101.txt,./35322 - Audio/Chapter_0102_display_101.mp3,queued
103,102,./35322 - Text/Chapter_0103_display_102.txt,./35322 - Audio/Chapter_0103_display_102.mp3,queued
104,103,./35322 - Text/Chapter_0104_display_103.txt,./35322 - Audio/Chapter_0104_display_103.mp3,queued
105,104,./35322 - Text/Chapter_0105_display_104.txt,./35322 - Audio/Chapter_0105_display_104.mp3,queued
106,105,./35322 - Text/Chapter_0106_display_105.txt,./35322 - Audio/Chapter_0106_display_105.mp3,queued
107,106,./35322 - Text/Chapter_0107_display_106.txt,./35322 - Audio/Chapter_0107_display_106.mp3,queued
108,107,./35322 - Text/Chapter_0108_display_107.txt,./35322 - Audio/Chapter_0108_display_107.mp3,queued
109,108,./35322 - Text/Chapter_0109_display_108.txt,./35322 - Audio/Chapter_0109_display_108.mp3,queued
110,109,./35322 - Text/Chapter_0110_display_109.txt,./35322 - Audio/Chapter_0110_display_109.mp3,queued
111,110,./35322 - Text/Chapter_0111_display_110.txt,./35322 - Audio/Chapter_0111_display_110.mp3,queued
112,111,./35322 - Text/Chapter_0112_display_111.txt,./35322 - Audio/Chapter_0112_display_111.mp3,queued
113,112,./35322 - Text/Chapter_0113_display_112.txt,./35322 - Audio/Chapter_0113_display_112.mp3,queued
114,113,./35322 - Text/Chapter_0114_display_113.txt,./35322 - Audio/Chapter_0114_display_113.mp3,queued
115,114,./35322 - Text/Chapter_0115_display_114.txt,./35322 - Audio/Chapter_0115_display_114.mp3,queued
116,115,./35322 - Text/Chapter_0116_display_115.txt,./35322 - Audio/Chapter_0116_display_115.mp3,queued
117,116,./35322 - Text/Chapter_0117_display_116.txt,./35322 - Audio/Chapter_0117_display_116.mp3,queued
118,117,./35322 - Text/Chapter_0118_display_117.txt,./35322 - Audio/Chapter_0118_display_117.mp3,queued
119,118,./35322 - Text/Chapter_0119_display_118.txt,./35322 - Audio/Chapter_0119_display_118.mp3,queued
120,119,./35322 - Text/Chapter_0120_display_119.txt,./35322 - Audio/Chapter_0120_display_119.mp3,queued
121,120,./35322 - Text/Chapter_0121_display_120.txt,./35322 - Audio/Chapter_0121_display_120.mp3,queued
122,121,./35322 - Text/Chapter_0122_display_121.txt,./35322 - Audio/Chapter_0122_display_121.mp3,queued
